Marca temporal,¿Cuál es su estatura en centímetros?,¿Cuál es su talla de calzado?,Sexo
27/03/2023 07:12,164,27,Masculino
27/03/2023 07:20,170,27.5,Masculino
27/03/2023 07:35,184,28,Masculino
27/03/2023 07:41,163,26.5,Masculino
27/03/2023 08:36,182,28,Masculino
27/03/2023 08:45,160,23.5,Femenino
27/03/2023 09:31,169,26.5,Masculino
27/03/2023 10:54,175,27.5,Masculino
27/03/2023 11:08,164,24.5,Femenino
27/03/2023 11:20,177,29,Masculino
27/03/2023 11:31,174,24,Masculino
27/03/2023 12:49,180,28.5,Masculino
27/03/2023 13:12,156,23.5,Femenino
27/03/2023 13:13,155,24,Femenino
27/03/2023 13:14,160,26,Masculino
27/03/2023 13:15,168,26,Masculino
27/03/2023 13:16,158,24.5,Femenino
27/03/2023 13:17,150,23,Femenino
27/03/2023 13:17,162,25,Femenino
27/03/2023 13:18,174,26,Masculino
27/03/2023 13:23,158,25,Femenino
27/03/2023 13:30,174,28,Masculino
27/03/2023 13:36,171,26.5,Masculino
27/03/2023 13:52,160,25,Femenino
27/03/2023 13:53,180,27,Masculino
27/03/2023 13:54,175,29,Masculino
27/03/2023 13:56,170,27,Masculino
27/03/2023 14:20,180,27.5,Masculino
27/03/2023 14:44,160,23.5,Femenino
27/03/2023 14:57,164,26,Femenino
27/03/2023 15:04,163,27,Masculino
27/03/2023 15:04,150,24,Femenino
27/03/2023 15:05,181,28.5,Masculino
27/03/2023 15:06,159,23.5,Femenino
27/03/2023 15:21,172,27,Masculino
27/03/2023 15:28,185,30,Masculino
27/03/2023 15:29,169,25.5,Femenino
27/03/2023 15:29,150,23.5,Femenino
27/03/2023 15:33,152,23,Femenino
27/03/2023 15:40,188,30,Masculino
27/03/2023 15:51,160,25,Masculino
27/03/2023 15:52,173,30,Masculino
27/03/2023 15:54,158,25.5,Masculino
27/03/2023 15:54,155,24,Femenino
27/03/2023 15:56,157,23.5,Femenino
27/03/2023 16:00,168,26.5,Masculino
27/03/2023 16:05,169,28.5,Masculino
27/03/2023 16:12,169,27.5,Masculino
27/03/2023 16:14,180,29.5,Masculino
27/03/2023 16:21,168,24.5,Femenino
27/03/2023 16:24,176,29,Masculino
27/03/2023 16:25,178,26,Masculino
27/03/2023 16:28,170,25,Femenino
27/03/2023 16:59,164,24,Femenino
27/03/2023 17:12,170,27.5,Masculino
27/03/2023 17:15,178,27,Masculino
27/03/2023 17:22,172,27,Masculino
27/03/2023 17:25,181,28,Masculino
27/03/2023 17:26,168,25.5,Femenino
27/03/2023 17:29,160,24,Femenino
27/03/2023 17:34,160,25.5,Femenino
27/03/2023 18:04,159,25.5,Femenino
27/03/2023 18:05,150,22.5,Femenino
27/03/2023 18:15,160,25.5,Femenino
27/03/2023 18:34,155,23,Femenino
27/03/2023 18:37,158,23,Femenino
27/03/2023 19:19,170,27,Masculino
27/03/2023 19:22,163,24,Femenino
27/03/2023 19:29,168,26,Masculino
27/03/2023 20:20,156,24,Femenino
27/03/2023 20:59,167,27,Masculino
27/03/2023 21:13,154,24.5,Femenino
